MMAF_CODE,MMSI,COLCT_DT,LATITUDE,LONGITUDE,LANTERN_STATUS,RACON_STATUS,DATALOGGER_STATUS,SPARE_STATUS,MAIN_VOLT_STATUS,SOLAR_VOLT_STATUS,BATTERY_VOLT_STATUS,SPARE_VOLT_STATUS,AIS_CURR_STATUS,LANTERN_CURR_STATUS,DATALOGGER_CURR_STATUS,CHARGER_CURR_STATUS,DISCHARGER_CURR_STATUS
105,994402872,2.0181E+13,37.03902778,126.3870556,1,,2,0,11.7,0,11.7,0,0,0,0,,3.8
105,994402682,2.0181E+13,0,0,1,,2,0,13.5,25.5,25.5,0,0,0,0,,1.29
105,994401034,2.0181E+13,37.05953333,126.0736,1,2,2,0,14.1,0,14.1,0,0.09,0.16,0,,0.57
105,994402682,2.0181E+13,0,0,1,,2,0,13.5,25.5,25.5,0,0,0,0,,1.29
105,994402691,2.0181E+13,37.07602778,126.2926111,1,,2,0,12.1,0,12.8,0,0,0,0,,2.1
105,994402690,2.0181E+13,36.77322222,125.9746111,1,,2,0,12.7,0,12.7,0,0,0,0,0,
105,994403650,2.0181E+13,36.10586667,125.9977333,0,2,2,0,13.5,0,13.9,0,0.46,0.11,0,,0.32
105,994402893,2.0181E+13,36.72319444,125.94625,1,,2,0,12,0,12.1,0,0,0,0,,0.3
105,994402893,2.0181E+13,36.72319444,125.94625,1,,2,0,12,0,12.1,0,0,0,0,,0.3
105,994401038,2.0181E+13,37.32853333,126.3915833,1,2,2,0,13.2,0,13.2,0,0.06,0.16,0,0.12,
105,994401038,2.0181E+13,37.32853333,126.3915833,1,2,2,0,13.2,0,13.2,0,0.06,0.16,0,0.12,
105,994402870,2.0181E+13,37.05286111,126.3775556,0,,2,0,12.4,0,12.4,0,0,0,0,,0.3
105,994402870,2.0181E+13,37.05286111,126.3775556,0,,2,0,12.4,0,12.4,0,0,0,0,,0.3
105,994402870,2.0181E+13,37.05286111,126.3775556,0,,2,0,12.4,0,12.4,0,0,0,0,,0.3
105,994402870,2.0181E+13,37.05286111,126.3775556,0,,2,0,12.4,0,12.4,0,0,0,0,,0.3
105,994402886,2.0181E+13,0,0,1,,2,0,12.1,0,12.7,0,0,0,0,,2.2
105,994401029,2.0181E+13,0,0,1,,2,0,13,0,13,0,0,0,0,,0.6
105,994402863,2.0181E+13,37.03286111,126.3965556,1,,2,0,12.5,25.5,25.5,0,0,0,0,,4.83
105,994401029,2.0181E+13,0,0,1,,2,0,13,0,13,0,0,0,0,,0.6
105,994402879,2.0181E+13,37.04166667,126.3216667,1,,2,0,12.9,0,12.9,0,0,0,0,,0.3
105,994402879,2.0181E+13,37.04166667,126.3216667,1,,2,0,12.9,0,12.9,0,0,0,0,,0.3
105,994402879,2.0181E+13,37.04166667,126.3216667,1,,2,0,12.9,0,12.9,0,0,0,0,,0.3
105,994402690,2.0181E+13,36.77322222,125.9746111,1,,2,0,12.7,0,12.7,0,0,0,0,0,
105,994402690,2.0181E+13,36.77322222,125.9746111,1,,2,0,12.7,0,12.7,0,0,0,0,0,
105,994402863,2.0181E+13,37.03286111,126.3965556,1,,2,0,12.5,25.5,25.5,0,0,0,0,,4.83
105,994402879,2.0181E+13,37.04166667,126.3216667,1,,2,0,12.9,0,12.9,0,0,0,0,,0.3
105,994402863,2.0181E+13,37.03286111,126.3965556,1,,2,0,12.5,25.5,25.5,0,0,0,0,,4.83
105,994402983,2.0181E+13,35.39025,126.4030667,1,2,2,0,12.3,12.3,12.4,0,0.31,0.38,0,0.03,
105,994401002,2.0181E+13,37.11598333,126.38555,1,2,2,0,12.7,0,12.9,0,0.4,0.27,0,,0.55
105,994403661,2.0181E+13,35.82618333,126.3721333,1,2,,0,12.9,0,13.3,0,0.44,0.28,0.02,,0.79
105,994403663,2.0181E+13,36.12525,125.9683833,0,2,2,0,11.8,0,0,0,0.46,0.12,0,,0.03
105,994402692,2.0181E+13,36.89497222,126.1503056,1,,2,0,12.9,0,12.8,0,0,0,0,,0.3
105,994401036,2.0181E+13,36.96938333,125.8536667,0,2,2,0,14,0,14,0,0.07,0.05,0,,0.41
105,994402692,2.0181E+13,36.89497222,126.1503056,1,,2,0,12.9,0,12.8,0,0,0,0,,0.3
105,994401036,2.0181E+13,36.96938333,125.8536667,0,2,2,0,14,0,14,0,0.07,0.05,0,,0.41
105,994402692,2.0181E+13,36.89497222,126.1503056,1,,2,0,12.9,0,12.8,0,0,0,0,,0.3
105,994401036,2.0181E+13,36.96938333,125.8536667,0,2,2,0,14,0,14,0,0.07,0.05,0,,0.41
105,994402651,2.0181E+13,36.64511111,126.0027222,0,,2,0,11.8,25.5,25.5,0,0,0,0,,0.39
105,994402692,2.0181E+13,36.89497222,126.1503056,1,,2,0,12.9,0,12.8,0,0,0,0,,0.3
